"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Allan Hills A77016"|"Official"|" "|"1977"|"Antarctica"|"H5"|"78.3 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77017"|"Official"|" "|"1977"|"Antarctica"|"H5"|"77.9 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77018"|"Official"|" "|"1977"|"Antarctica"|"H5"|"51.8 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77019"|"Official"|" "|"1977"|"Antarctica"|"L6"|"59.8 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77021 **"|"Official"|" "|"1977"|"Antarctica"|"H5"|"16.7 g"|"4(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77022"|"Official"|" "|"1977"|"Antarctica"|"H5"|"16 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77023"|"Official"|" "|"1977"|"Antarctica"|"H5"|"21.4 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77024"|"Official"|" "|"1977"|"Antarctica"|"H4"|"10.8 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77025 **"|"Official"|" "|"1977"|"Antarctica"|"H5"|"19.4 g"|"4(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77026"|"Official"|" "|"1977"|"Antarctica"|"L6"|"20.3 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77027"|"Official"|" "|"1977"|"Antarctica"|"L6"|"3.7 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77028"|"Official"|" "|"1977"|"Antarctica"|"L6"|"0.53 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77029"|"Official"|" "|"1977"|"Antarctica"|"CO3.4"|"1.4 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77030"|"Official"|" "|"1977"|"Antarctica"|"H4/5"|"0.8 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77031"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"0.5 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77032"|"Official"|" "|"1977"|"Antarctica"|"L3"|"6.7 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77033 **"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"9.3 g"|"4(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77034"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"1.8 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77035"|"Official"|" "|"1977"|"Antarctica"|"L(?)3"|"1.67 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77036"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"8.5 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77037"|"Official"|" "|"1977"|"Antarctica"|"H5"|"2.33 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77038"|"Official"|" "|"1977"|"Antarctica"|"H5"|"18.8 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77039"|"Official"|" "|"1977"|"Antarctica"|"H5"|"8.2 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77040"|"Official"|" "|"1977"|"Antarctica"|"L3"|"2.3 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77041"|"Official"|" "|"1977"|"Antarctica"|"LL6"|"16.6 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77042"|"Official"|" "|"1977"|"Antarctica"|"H5"|"20.4 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77043"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"11.4 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77044"|"Official"|" "|"1977"|"Antarctica"|"H4"|"12.3 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77045"|"Official"|" "|"1977"|"Antarctica"|"H5"|"17.9 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77046"|"Official"|" "|"1977"|"Antarctica"|"H6"|"7.6 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77047"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"20.5 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77048"|"Official"|" "|"1977"|"Antarctica"|"L/LL3"|"14.9 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77049"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"7.3 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A77050"|"Official"|" "|"1977"|"Antarctica"|"L3.6"|"84.2 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77051"|"Official"|" "|"1977"|"Antarctica"|"H5"|"15 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77052"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"112.2 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
